business,name,address,city,state,latitude,longitude,stars,review_count,food_type,restaurant_type,country_type,mon,tue,wed,thu,fri,sat,sun
WMj5Uj04pAqFxLMnJQcQqw,Panda Express,3355 Las Vegas Blvd S,Las Vegas,NV,36.1220839,-115.1680316,2.5,61,Fast Food;,Restaurants;Fast Food;,,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,9:0-1:0,9:0-1:0,9:0-0:0
Z-v7FStTnqpt0ibzlIbTEA,Pineapple Park,"3743 Las Vegas Blvd S, Ste 121",Las Vegas,NV,36.1067305,-115.1719754,2,6,Ice Cream & Frozen Yogurt;Food;Desserts;,,,None,None,None,None,None,None,None
RGmBfqdFb0giLPG-SZbQUQ,Christy Candy Shop,3542 S Maryland Pkwy,Las Vegas,NV,36.124902,-115.13471,3,4,Food;Specialty Food;,Restaurants;,Mexican;,None,None,None,None,None,None,None
jkAr4Dnoh7fZL66DNv6jqg,Red Mango,"4480 Paradise Rd, #1000",Las Vegas,NV,36.1088013,-115.152093,4,36,Desserts;,,,None,None,None,None,None,None,None
NoSj3hV8Rlz_gUsOL4_EjQ,Jack's Pub,2416 W Sahara Ave,Las Vegas,NV,36.1444404,-115.1744386,2.5,21,,Restaurants;,Irish;,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-2:0,9:0-2:0,9:0-0:0
SlelFNxQz5PJbl6kkjI0OA,Makino,9570 S Eastern Ave,Las Vegas,NV,36.0151363,-115.1184733,3,7,,Restaurants;,,None,None,None,None,None,None,None
sUMi2q41l4AzOsmJMRY8zQ,Del Mar Deli,9777 Las Vegas Blvd S,Las Vegas,NV,36.01154119,-115.1758965,3.5,119,Delis;Sandwiches;,Restaurants;,,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-1:0,7:0-1:0,8:0-22:0
_ewxwEwJM-IYfIYnKpQOZw,Mexicali Raspados,4865 S Pecos Rd,Las Vegas,NV,36.1006883,-115.1010833,4.5,47,Ice Cream & Frozen Yogurt;Shaved Ice;Hot Dogs;,Restaurants;,,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-21:0,11:0-21:0,11:0-21:0
EEePiBwchl-TIBVcTdE0RA,McDonald's,"Excalibur Food Court, 3850 Las Vegas Blvd S",Las Vegas,NV,36.098909,-115.175557,2,26,Burgers;Fast Food;,Fast Food;,,5:0-22:30,5:0-22:30,5:0-22:30,5:0-22:30,5:0-22:30,5:0-23:0,5:0-23:0
yIZROHhe6hfmmzLCtTIEJQ,Tootie's Place,6601 Las Vegas Blvd S,Las Vegas,NV,36.0680033,-115.1764458,2,3,Fast Food;,Restaurants;Fast Food;,,None,None,None,None,None,None,None
jLkowt2UH0d-L81NDndaxA,7-Eleven,600 Las Vegas Blvd N,Las Vegas,NV,36.17509874,-115.1364934,2,9,Food;,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
7l7SQa3SYH8gCKqPKqdBPA,See's Candies,"4760 West Sahara Ave, Sahara Pavilion North Shopping Center",Las Vegas,NV,36.1461876,-115.2076743,4,15,Desserts;Specialty Food;,,,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0
KhWl4Mwhm_Oqq0zIIz-0wQ,Carnival World & Seafood Buffet,3700 W Flamingo Rd,Las Vegas,NV,36.117506,-115.188844,2.5,508,Buffets;Seafood;,,,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,10:0-22:0,10:0-22:0
v0byOL8VL6v6muGa1anxFA,The Hummus Factory,"7875 W Sahara Ave, Ste 101",Las Vegas,NV,36.1432041,-115.262866,4.5,214,Burgers;,Restaurants;,Greek;Middle Eastern;,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-20:0
aNe8ofTYrealxqv7VtFTuw,Sierra Gold,6515 S Jones Blvd,Las Vegas,NV,36.0703249,-115.2249525,3.5,215,Food;Pizza;,Restaurants;Bars;,American (New);,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
pidpBdWsOFfe7pWypBIoiQ,Miga Korean Bistro,6112 W Flamingo Rd,Las Vegas,NV,36.1146002,-115.2252211,4,42,,Restaurants;,Hawaiian;Asian Fusion;,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-21:30
PgJgpW4TKQ8IoALH2Yq-zA,Bayside Buffet at Mandalay Bay,3950 S Las Vegas Blvd,Las Vegas,NV,36.09121926,-115.1758039,3,1033,Buffets;,Restaurants;,American (Traditional);,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
w55IYhyLHUdsRlo_EvMmNQ,Table 89,"7160 North Durango Dr, Ste 110",Las Vegas,NV,36.2914365,-115.2870159,3,76,Salad;Sandwiches;,Restaurants;,American (New);,12:0-20:0,12:0-20:0,12:0-20:0,12:0-20:0,12:0-20:0,12:0-20:0,None
7kO8bObVGFa-T3mj6PVYsg,Quiznos,730 E Flamingo Rd,Las Vegas,NV,36.114988,-115.147904,5,4,,Restaurants;,,None,None,None,None,None,None,None
84OaY6g32C6PiRXXd3suuw,ARCO ampm,7262 S Fort Apache Rd,Las Vegas,NV,36.05597123,-115.2970411,2,26,Food;,,,None,None,None,None,None,None,None
hJX8WoV-KbFVHojZ6i83Cg,Quiznos,901 S Rancho Dr,Las Vegas,NV,36.1604805,-115.17233,3.5,17,Sandwiches;Fast Food;,Fast Food;Restaurants;,,None,None,None,None,None,None,None
gwYt_q3Ob7aQJIefIBsZiQ,Raising Cane's,7135 S Rainbow Blvd,Las Vegas,NV,36.058716,-115.2433571,4,264,Fast Food;Chicken Wings;,Fast Food;,American (Traditional);,9:0-1:30,9:0-1:30,9:0-1:30,9:0-1:30,9:0-1:30,9:0-1:30,9:0-1:30
kiU9C58n7dgygdrpjOQXMQ,Los Jarochos Restaurant,4811 S Rainbow Blvd,Las Vegas,NV,36.101319,-115.244375,4,62,,Restaurants;,,None,10:0-22:0,10:0-22:0,10:0-22:0,10:0-23:0,10:0-23:0,10:0-22:0
m7pPqt6UY-S1Wy0iR2IqZA,Mist Bar and Lounge,"Treasure Island Hotel & Casino, 3300 Las Vegas Blvd S",Las Vegas,NV,36.13050208,-115.1687265,3,21,,Lounges;,,17:0-4:0,17:0-4:0,17:0-4:0,17:0-4:0,17:0-4:0,17:0-4:0,17:0-4:0
bAdwf-n52f46-ZjlfJ1Hwg,Roberto's Taco Shop,7251 W Azure Dr,Las Vegas,NV,36.2730147,-115.2518622,2.5,26,Fast Food;,Fast Food;,Mexican;,None,None,None,None,None,None,None
ijg7qQCYnhUWBd5JUxbfvA,Roxy's Diner,2000 Las Vegas Blvd S,Las Vegas,NV,36.14770952,-115.1552059,3,357,Burgers;Food;,Restaurants;Breakfast & Brunch;Diners;,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
crGdKSRKi25R2vorZ7skzg,Tortilleria San Diego,235 N Eastern Ave,Las Vegas,NV,36.1656584,-115.1165785,4.5,3,,Restaurants;,,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-17:0
l_eFv9Q9Q8RBLqfJJXi9ug,Subway,1196 E Tropicana Ave,Las Vegas,NV,36.1015578,-115.1374328,2,4,Sandwiches;,Restaurants;,,None,None,None,None,None,None,None
GCRvrxMSC1nzShyM4Y-guQ,Body English,"Hard Rock Hotel & Casino, 4455 Paradise Rd",Las Vegas,NV,36.109519,-115.153331,3.5,264,,Bars;Lounges;,,None,None,None,None,22:30-4:0,22:30-4:0,None
zcVZc4SadqLgUHKWL2ZilQ,ChefKas Catering,,Las Vegas,NV,36.0809667,-115.2244853,4.5,25,Food;,Juice Bars & Smoothies;Personal Chefs;,,10:0-20:30,10:0-20:30,10:0-20:30,10:0-20:30,10:0-20:30,10:0-19:0,10:0-18:0
Y4JxC1jgesxOzqUyGFwlEA,UNLV Rock n' Brew Beer & Music Festival,4321 W Flamingo Rd,Las Vegas,NV,36.11389852,-115.1959513,3,3,,Bars;,,None,None,None,None,None,None,None
ZPZYNq9fNu2GyeCSz7U-fg,Five Star Tavern,4220 E Charleston Blvd,Las Vegas,NV,36.1590151,-115.0850773,3,6,,Bars;Restaurants;,American (New);,None,None,None,None,None,None,None
AYe8rS3qBPuLHSwNOZSbcA,Sushi Loca,10965 Lavender Hill Dr,Las Vegas,NV,36.14504941,-115.3328245,3,229,Food;Sushi Bars;,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
5_MrPFw9E0cMJ1Q0DJFZOQ,Tilted Kilt Pub & Eatery,"3545 Las Vegas Blvd, Unit L-26",Las Vegas,NV,36.11738432,-115.1703222,3,288,,Bars;Restaurants;,,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,9:0-1:0,9:0-1:0,9:0-1:0
KPsu_1Q9XYRKWs_ZBTtlTg,Sky Lounge,3745 S Las Vegas Blvd,Las Vegas,NV,36.1065949,-115.1709543,2.5,6,Pizza;,Bars;Lounges;Restaurants;,,None,None,None,None,None,None,None
tSbs8i_9Hlaommupjgn63Q,Panda Express,4416 E Bonanza Blvd,Las Vegas,NV,36.1739844,-115.0797206,3,14,Fast Food;,Fast Food;,Chinese;,9:30-22:30,9:30-22:30,9:30-22:30,9:30-22:30,9:30-22:30,9:30-22:30,9:30-22:30
wwEg_6bHfTrOpn_bygIQZg,Little Ceasars,"4388 E Craig Rd, Ste 135",Las Vegas,NV,36.24121646,-115.0779132,2,20,,Restaurants;,,None,None,None,None,None,None,None
oIoq6WQbyRpPZClMkHQNlQ,Delicia's Latina's,,Las Vegas,NV,36.16000372,-115.118578,3,4,Food;,Restaurants;,Cuban;Mexican;,None,None,None,None,None,None,None
aoXfMlw7yh2q2s6t1iPDNw,Signature Bar,3475 S Las Vegas Blvd,Las Vegas,NV,36.1193098,-115.1717702,2,3,,Bars;,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
HexCnP_tQFgXH6QD9UlJWw,WinCo Foods,6101 N Decatur Blvd,Las Vegas,NV,36.26992879,-115.2082405,4,146,Food;,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Rhkz_-xd4TiNOPLvIGKbcg,Fresh & Easy Neighborhood Market,6100 W Vegas Dr,Las Vegas,NV,36.188647,-115.2250839,4,4,Food;,,,None,None,None,None,None,None,None
OFw59czUoeeosFMKfRawmg,Gordon Biersch Brewery Restaurant,3987 Paradise Rd,Las Vegas,NV,36.1170027,-115.1552488,3.5,352,Food;,Breweries;Restaurants;,American (New);,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
9CNObWIk7w8poCo5IAtgmw,Raising Cane's,3535 W Tropicana Ave,Las Vegas,NV,36.10051263,-115.1868803,4,55,Chicken Wings;Food;Fast Food;,Restaurants;Fast Food;,,9:0-1:30,9:0-1:30,9:0-1:30,9:0-1:30,9:0-3:0,9:0-3:0,9:0-1:30
7KkgMcbVaetryW1wwpzvvA,Cafe Rio,5765 Centennial Center Blvd,Las Vegas,NV,36.26483,-115.257743,3.5,153,,Restaurants;,,10:30-22:0,10:30-22:0,10:30-22:0,10:30-23:0,10:30-23:0,10:30-23:0,11:0-22:0
aRV-V3RXVk9c5YPSNyNjzA,Kahunaville O2 Bar,3300 Las Vegas Blvd S,Las Vegas,NV,36.12506603,-115.1728323,4.5,7,,Lounges;Bars;,,None,None,None,None,None,None,None
uIbZjRRqR1OR-t2NBCa1Wg,Pizza Hut,"5255 S. Decatur Blvd., #113",Las Vegas,NV,36.0944572,-115.2088673,2.5,32,Pizza;,,Italian;,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,10:0-0:0,10:0-23:0
824TPhxyn64v1__rmjxttA,Lolo Fuzion,,Las Vegas,NV,36.1699412,-115.1398296,2.5,3,Food;,,,None,None,None,None,None,None,None
G54fcIaoI89tc6X285suRA,DD'Coffee Shop,4255 S Durango Dr,Las Vegas,NV,36.1121084,-115.2793898,3.5,39,Burgers;Coffee & Tea;,Coffee & Tea;Bars;Restaurants;Breakfast & Brunch;Cocktail Bars;,American (New);Persian/Iranian;Mediterranean;,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
GisIy4El3OAxJwnkovgv_A,Hot Dog on a Stick,4300 Meadows Ln,Las Vegas,NV,36.1725319,-115.197258,3,20,Hot Dogs;,,,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-18:0
pyqnGlIfP9Zw8LLxBjyAiA,Nobu,3570 Las Vegas Blvd S,Las Vegas,NV,36.11674333,-115.1753682,4,840,Sushi Bars;Seafood;,,Japanese;,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-0:0,17:0-0:0,17:0-23:0
tro-hrljuY1cUAVFYauTlQ,In-N-Out Burger,4705 S Maryland Pkwy,Las Vegas,NV,36.1041636,-115.1375999,4.5,275,Burgers;,Restaurants;,,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:30,10:30-1:30,10:30-1:0
_QvGAqMmrUIlxpby2Ul5Dg,Dona Maria Tamales Restaurant,3205 N Tenaya Way,Las Vegas,NV,36.21914606,-115.2517567,3.5,242,Food;Desserts;Seafood;,,Mexican;,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,9:0-22:0,9:0-22:0
YYRP-b61hjDljhWBfmUlDg,KFC,4924 Boulder Hwy,Las Vegas,NV,36.1139,-115.066,2,19,Fast Food;,Restaurants;Fast Food;,,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-23:0,10:0-23:0,10:0-22:0
BG8lvZoPTrPJqcvTh-ytzg,The Range Steakhouse,"Harrahs Las Vegas, 3475 S Las Vegas Blvd",Las Vegas,NV,36.1183787,-115.1726202,4,105,Seafood;,Restaurants;,,17:30-22:30,17:30-22:30,17:30-22:30,17:30-22:30,17:30-22:30,17:30-22:30,17:30-22:30
JKTMgelIQ-VHn7SL5nyiWA,Buddha Thai Bistro,"9400 S Eastern Ave, Ste 106B",Las Vegas,NV,36.0182263,-115.1179256,4.5,86,,,Chinese;Asian Fusion;Thai;,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
C4XsC2ZBtsl1EgjdVue3yA,Pinoy Pinay Filipino Restaurant,1217 E Sahara Ave,Las Vegas,NV,36.145433,-115.1360328,3.5,114,,,Filipino;Asian Fusion;,None,None,None,None,None,None,None
IKlvVlI9uIh9ke8BDp-ZwQ,Gigi's Cupcakes,"Plaza Hotel & Casino, 1 Main St",Las Vegas,NV,36.1716577,-115.1463616,4,23,Desserts;,,,10:0-10:0,10:0-10:0,10:0-10:0,10:0-10:0,10:0-0:0,10:0-0:0,10:0-10:0
p4UY86ROXC0IDnvasv2S8A,Farmers Market LV,"8174 S Las Vegas Blvd, Ste 107",Las Vegas,NV,36.04113883,-115.1705576,5,15,Food;,,,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0
4Pb7SlTK89uSdqOwMNM35A,Tequila Taqueria,3645 Las Vegas Blvd S,Las Vegas,NV,36.11386,-115.168798,3,187,Burgers;,Bars;Restaurants;Cocktail Bars;,Mexican;Tex-Mex;,12:0-3:0,12:0-3:0,12:0-3:0,12:0-3:0,12:0-6:0,12:0-6:0,12:0-3:0
J121PGT4oi5AqVbtMoEfVw,La Parrilla,4161 S Eastern Ave,Las Vegas,NV,36.1130431,-115.1194493,3.5,6,,Restaurants;,,None,None,None,None,None,None,None
k41bo3i0k-PXQAKvVOLi_g,Starbucks,6365 S Rainbow Blvd,Las Vegas,NV,36.072482,-115.242852,3.5,70,Coffee & Tea;,Coffee & Tea;,,5:0-20:30,5:0-20:30,5:0-20:30,5:0-20:30,5:0-20:30,5:30-20:30,6:0-20:0
LpGCzgAKNSpzDNEUMVVtZA,Grimaldi's Pizzeria,"7155 S Rainbow Blvd, Ste 125",Las Vegas,NV,36.05833386,-115.2433192,4,459,Pizza;,,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0
iFCz-xI7CV98fcaB4Chh3g,The Black Sheep,8680 W Warm Springs Rd,Las Vegas,NV,36.0560801,-115.2808739,4.5,178,,Cocktail Bars;Restaurants;Wine Bars;,American (New);,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
tyCOrWRRqrg6sym4lKkVZg,Huerta's Bakery,1165-1185 E Desert Inn Rd,Las Vegas,NV,36.1296956,-115.1372555,3,4,Desserts;Bakeries;,Bakeries;Restaurants;,Mexican;,None,None,None,None,None,None,None
2GfKCR3S8I2m0iiyEd3sKA,Blue Agave,4321 W Flamingo Rd,Las Vegas,NV,36.114539,-115.195684,1.5,5,,Restaurants;,Mexican;,None,None,None,None,None,None,None
82YGtjc5KKikNiqBZ33qzw,Kyara Japanese Tapas,"6555 S Jones Blvd, Ste 120",Las Vegas,NV,36.0698514,-115.2249867,4,428,Food;,Restaurants;,Japanese;,11:0-15:0,11:0-15:0,11:0-15:0,11:0-15:0,11:0-15:0,11:0-14:0,11:0-14:0
zAhv5Pg3vUB_kzdCj0KtDg,The Chicken Shack,"4950 S. Rainbow Blvd, Ste 130",Las Vegas,NV,36.09859661,-115.2425259,3.5,33,Fast Food;Chicken Wings;,Restaurants;Fast Food;,,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-20:0
DHUAQ4pzH9KKzGZDm1jZLg,Krispy Kreme Doughnuts,7015 W Spring Mountain Rd,Las Vegas,NV,36.12529103,-115.2457504,3,133,Donuts;Coffee & Tea;,Cafes;Restaurants;Coffee & Tea;,,5:30-22:0,5:30-22:0,5:30-22:0,5:30-22:0,5:30-22:0,5:30-22:0,5:30-22:0
kMGfuOZeBDNQJ4_pBjE26Q,Taqueria Del Paisano,3603 N Las Vegas Blvd,Las Vegas,NV,36.22666672,-115.0813409,4.5,6,,Restaurants;,,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-17:0
VEcI0bURmJtf0B9UPSEMDA,Millano Pizzeria,"4850 W Flamingo Rd, Ste 6",Las Vegas,NV,36.1165039,-115.2068875,4,12,Pizza;,,,10:0-2:0,10:0-2:0,10:0-2:0,10:0-4:0,10:0-4:0,10:0-4:0,10:0-2:0
luf0E5FPY-hv-uceL8QtBA,Fat Bar,3763 Las Vegas Blvd S,Las Vegas,NV,36.1052677,-115.1724964,4,23,,Bars;,American (New);American (Traditional);,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0
Rv1IiQaIIDunqzS8dSvHCw,Plumeria Thai Cafe,6710 W Cheyenne Ave,Las Vegas,NV,36.21922332,-115.2427038,4.5,218,,Restaurants;,Asian Fusion;Thai;,None,11:0-14:0,11:0-14:0,11:0-14:0,11:0-14:0,11:0-14:0,12:0-19:0
Yzf6r6BL4c_DfEyczNJ10g,Albertsons,6885 E Lake Mead Blvd,Las Vegas,NV,36.1944843,-115.0238298,3.5,15,Food;,,,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0
FT99KLluYZA7vFZEIypIwQ,Fracos & Froccs,"6593 Las Vegas Blvd S, Unit B155",Las Vegas,NV,36.06824971,-115.1772308,3.5,11,Food;Desserts;,Restaurants;,,8:30-21:0,8:30-21:0,8:30-21:0,8:30-21:0,8:30-22:0,8:30-22:0,11:0-20:0
tZW4NLpEYinu4mIxdKj0Pw,The Rose Grill,3328 E Charleston Blvd,Las Vegas,NV,36.1585755,-115.0996395,3.5,3,Burgers;Salad;,Restaurants;,,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-22:0
gPzDw2Ms6JZRZhA2tyxItw,Burger King,3355 S Maryland Pkwy,Las Vegas,NV,36.1281733,-115.1374956,2.5,11,Fast Food;Burgers;,Fast Food;,,None,None,None,None,None,None,None
GGvjkKM74UnOh2NyvwTLZQ,Jjanga Fusion Pocha,"6145 W Sahara Ave, St 1",Las Vegas,NV,36.1429443,-115.2265555,4.5,16,Pizza;Soup;,Bars;Restaurants;,,None,18:0-4:0,18:0-4:0,18:0-4:0,18:0-4:0,18:0-4:0,18:0-4:0
MXpCVzm1V5OH05KO6n7ntA,The Corndog Company LV,5720 Centennial Center Blvd,Las Vegas,NV,36.2657011,-115.2599646,5,7,Food Trucks;Hot Dogs;Food;,Restaurants;,,None,None,None,None,None,None,None
