Cuisine,1,1.5,2,2.5,3,3.5,4,4.5,5
Izakaya,0,0,0,0,0,0,1,0,0
Haitian,0,0,0,0,0,0,1,0,0
Australian,0,0,0,0,0,1,2,1,0
Shanghainese,0,0,0,0,0,1,0,0,0
Armenian,0,0,0,0,0,0,0,0,0
Czech,0,0,0,0,0,2,0,1,0
Syrian,0,0,0,0,0,0,0,1,0
Trinidadian,0,0,0,0,0,0,0,0,0
Tuscan,0,0,0,0,0,0,0,0,0
Iberian,0,0,0,0,0,0,1,0,0
Honduran,0,0,0,0,0,0,0,0,0
Slovakian,0,0,0,0,0,2,0,0,0
Swiss Food,0,0,0,0,2,0,0,0,0
Uzbek,0,0,0,0,0,0,0,0,0
Kombucha,0,0,0,0,0,0,0,1,0
Themed Cafes,0,0,0,0,1,0,0,0,0
Baden,0,0,0,0,0,0,0,0,0
Eastern European,0,0,0,0,0,0,0,0,0
Nicaraguan,0,0,0,0,0,0,0,1,0
Pita,0,0,0,0,0,0,0,0,0
Japanese Curry,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0
Schnitzel,0,0,0,0,0,0,0,0,0
Udon,0,0,0,0,0,1,0,0,0
Traditional Norwegian,0,0,0,0,0,0,0,0,0
Tonkatsu,0,0,0,0,0,0,0,0,0
Senegalese,0,0,0,0,0,0,0,0,0
Conveyor Belt Sushi,0,0,0,0,0,0,0,0,0
Baguettes,0,0,0,0,0,0,0,0,0
Parent Cafes,0,0,0,0,0,0,0,0,0
Hong Kong Style Cafe,0,0,0,0,0,0,0,0,0
Eastern German,0,0,0,0,0,0,0,0,0
Sicilian,0,0,0,0,0,0,0,0,0
Hainan,0,0,0,0,0,1,0,0,0
Bulgarian,0,0,0,0,0,0,0,0,0
Czech/Slovakian,0,0,0,0,0,1,0,0,0
Guamanian,0,0,0,0,0,0,0,0,0
Alsatian,0,0,0,0,0,0,0,0,0
Friterie,0,0,0,0,0,0,0,0,0
Georgian,0,0,0,0,0,0,0,0,0
Churros,0,0,0,0,0,0,0,0,0
Rotisserie Chicken,0,0,0,0,0,0,0,0,0
Soba,0,0,0,0,0,0,0,0,0
