Cuisine,1,1.5,2,2.5,3,3.5,4,4.5,5
Hawaiian,0,0,0,0,0,0,1,0,0
Soul Food,0,0,0,0,0,2,0,3,1
Dim Sum,0,0,0,1,0,2,2,0,0
Cajun/Creole,0,0,0,1,0,3,2,0,0
Portuguese,0,0,0,0,0,0,0,0,0
Modern European,0,0,0,0,0,0,1,0,0
Creperies,0,0,0,1,0,0,0,1,0
Shaved Ice,0,0,0,0,0,0,0,0,0
Swabian,0,0,0,0,0,0,0,0,0
Spanish,0,0,0,0,1,1,2,0,0
Filipino,0,0,0,0,0,1,0,0,0
Cheesesteaks,0,0,0,0,0,1,0,0,0
Irish,0,0,0,1,0,5,0,0,0
Turkish,0,0,0,0,0,1,0,0,0
Patisserie/Cake Shop,0,0,0,0,0,0,0,0,0
Lebanese,0,0,0,0,0,0,1,0,0
Cheese Shops,0,0,0,0,1,1,4,5,0
Taiwanese,0,0,0,0,0,2,1,1,0
Custom Cakes,0,0,0,0,2,0,0,1,1
Gay Bars,0,0,0,1,1,1,2,0,0
Ramen,0,0,0,0,0,2,0,0,0
Delicatessen,0,0,0,0,0,0,0,0,0
Persian/Iranian,0,0,0,0,0,0,2,0,0
Bistros,0,0,0,0,0,1,0,0,0
Tacos,0,0,0,0,2,1,2,0,0
Brasseries,0,0,0,0,1,0,2,0,0
Do-It-Yourself Food,0,0,0,0,2,0,2,0,0
Food Court,0,1,0,0,0,0,1,1,0
African,0,0,0,0,0,0,1,0,0
Poutineries,0,0,0,0,1,0,0,0,0
International,0,0,0,0,0,0,0,0,0
Gelato,0,0,0,0,0,0,2,0,0
Kosher,0,0,0,0,0,0,1,0,0
Coffee Roasteries,0,0,0,0,0,0,1,2,1
Falafel,0,0,0,0,0,1,2,1,0
Poke,0,0,0,0,0,1,0,0,0
Afghan,0,0,0,0,1,2,0,0,0
Pan Asian,0,0,0,0,0,0,0,0,0
Peruvian,0,0,0,0,0,1,4,1,0
Waffles,0,0,0,0,0,1,0,0,0
Hot Pot,0,0,0,0,0,0,0,0,0
Szechuan,0,0,0,0,0,0,0,0,1
Brazilian,0,0,0,0,1,0,0,1,0
Cantonese,0,0,0,1,0,2,0,0,0
Personal Chefs,0,0,0,0,0,0,0,0,0
Ethiopian,0,0,0,0,0,1,0,0,0
Pretzels,0,0,0,0,0,1,0,0,0
Cuban,0,0,0,0,0,0,1,0,0
Malaysian,0,0,0,0,0,0,1,0,1
Live/Raw Food,0,0,0,0,0,0,0,0,0
Salvadoran,0,0,0,0,0,0,0,0,0
Moroccan,0,0,0,0,1,0,2,0,0
Arabian,0,0,0,0,0,0,0,0,0
Russian,0,0,0,0,0,0,1,1,0
Macarons,0,0,0,0,0,0,0,0,0
Acai Bowls,0,0,0,0,0,0,0,0,0
Himalayan/Nepalese,0,0,0,0,0,2,3,0,0
Popcorn Shops,0,0,0,0,0,0,1,0,1
Belgian,0,0,0,0,0,1,2,0,0
Argentine,0,0,0,0,0,1,0,0,0
Cafeteria,0,0,0,0,0,0,0,0,0
Mongolian,0,0,0,1,3,0,0,0,0
Whiskey Bars,0,0,0,0,0,0,0,2,0
Colombian,0,0,0,0,0,0,0,2,0
Cambodian,0,0,0,0,1,0,0,0,0
Beverage Store,0,0,0,0,0,0,0,0,0
New Mexican Cuisine,0,0,0,0,0,0,0,0,0
Hungarian,0,0,0,0,0,0,0,0,0
Basque,0,0,0,0,0,0,1,0,0
Sri Lankan,0,0,0,0,0,0,1,0,0
Champagne Bars,0,0,0,0,0,0,0,0,0
Hakka,0,0,0,0,0,0,0,0,0
Venezuelan,0,0,0,0,0,0,0,2,0
Teppanyaki,0,0,0,0,0,0,0,0,0
Indonesian,0,0,0,0,1,0,1,0,0
Puerto Rican,0,0,0,0,0,0,0,0,0
Bangladeshi,0,0,0,0,0,0,0,0,0
Singaporean,0,0,0,0,0,0,0,0,0
Ukrainian,0,0,0,0,0,0,0,0,0
Coffeeshops,0,0,0,0,0,0,0,0,0
Muay Thai,0,0,0,0,0,0,0,0,0
South African,0,0,0,0,0,0,0,0,0
Dominican,0,0,0,0,0,0,0,0,0
Serbo Croatian,0,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Laotian,0,0,0,0,0,0,0,1,0
Curry Sausage,0,0,0,0,0,0,0,0,0
Austrian,0,0,0,0,0,0,0,0,0
Bavarian,0,0,0,0,0,0,0,0,0
Egyptian,0,0,0,0,0,0,0,0,0
Burmese,0,0,0,0,0,0,0,0,0
Izakaya,0,0,0,0,0,0,0,0,0
Haitian,0,0,0,0,0,0,0,0,0
Australian,0,0,0,0,0,0,0,0,0
Shanghainese,0,0,0,0,0,0,0,0,0
Armenian,0,0,0,0,0,0,0,0,0
Czech,0,0,0,0,0,0,0,0,0
Syrian,0,0,0,0,0,0,0,0,0
Trinidadian,0,0,0,0,0,0,0,0,0
Tuscan,0,0,0,0,0,0,0,0,0
Iberian,0,0,0,0,0,0,0,0,0
Honduran,0,0,0,0,0,0,0,0,0
Slovakian,0,0,0,0,0,0,0,0,0
Swiss Food,0,0,0,0,0,0,0,0,0
Uzbek,0,0,0,0,0,0,0,0,0
Kombucha,0,0,0,0,0,0,0,0,0
Themed Cafes,0,0,0,0,0,0,0,0,0
Baden,0,0,0,0,0,0,0,0,0
Eastern European,0,0,0,0,0,0,0,0,0
Nicaraguan,0,0,0,0,0,0,0,0,0
Pita,0,0,0,0,0,0,0,0,0
Japanese Curry,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0
Schnitzel,0,0,0,0,0,0,0,0,0
Udon,0,0,0,0,0,0,0,0,0
Traditional Norwegian,0,0,0,0,0,0,0,0,0
Tonkatsu,0,0,0,0,0,0,0,0,0
Senegalese,0,0,0,0,0,0,0,0,0
Conveyor Belt Sushi,0,0,0,0,0,0,0,0,0
Baguettes,0,0,0,0,0,0,0,0,0
Parent Cafes,0,0,0,0,0,0,0,0,0
Hong Kong Style Cafe,0,0,0,0,0,0,0,0,0
Eastern German,0,0,0,0,0,0,0,0,0
Sicilian,0,0,0,0,0,0,0,0,0
Hainan,0,0,0,0,0,0,0,0,0
Bulgarian,0,0,0,0,0,0,0,0,0
Czech/Slovakian,0,0,0,0,0,0,0,0,0
Guamanian,0,0,0,0,0,0,0,0,0
Alsatian,0,0,0,0,0,0,0,0,0
Friterie,0,0,0,0,0,0,0,0,0
Georgian,0,0,0,0,0,0,0,0,0
Churros,0,0,0,0,0,0,0,0,0
Rotisserie Chicken,0,0,0,0,0,0,0,0,0
Soba,0,0,0,0,0,0,0,0,0
