category,count,remark,Food type,Rest type,Country type,Repeat as
Iberian,4,伊比利亚,,,Iberian,
Honduran,4,洪都拉斯,,,Honduran,
Slovakian,3,,,,Slovakian,
Swiss Food,3,,,,Swiss Food,
Uzbek,3,乌兹别克斯坦,,,Uzbek,
Kombucha,3,红茶菌饮料,Kombucha,,,
Themed Cafes,3,,,Themed Cafes,,
Baden,3,德国巴登,,,Baden,
Eastern European,3,,,,Eastern European,
Nicaraguan,2,尼加拉瓜,,,Nicaraguan,
Pita,2,,Pita,,,
Japanese Curry,2,,Japanese Curry,,,
Mauritius,2,毛里求斯共和国,,,Mauritius,
Schnitzel,2,德国炸牛排,Schnitzel,,,
Udon,1,乌冬面,Udon,,,
Traditional Norwegian,1,,,,Traditional Norwegian,
Tonkatsu,1,炸猪排,Tonkatsu,,,
Senegalese,1,塞内加尔,,,Senegalese,
Conveyor Belt Sushi,1,,Conveyor Belt Sushi,,,
Baguettes,1,法棍,Baguettes,,,
Parent Cafes,1,,,Parent Cafes,,
Hong Kong Style Cafe,1,,,Hong Kong Style Cafe,,
Eastern German,1,,,,Eastern German,
Sicilian,1,西西里披薩,,,Sicilian,
Hainan,1,,,,Hainan,
Bulgarian,1,,,,Bulgarian,
Czech/Slovakian,1,,,,Czech/Slovakian,
Guamanian,1,关岛,,,Guamanian,
Alsatian,1,法国阿尔萨斯,,,Alsatian,
Friterie,1,炸薯条,Friterie,,,
Georgian,1,,,,Georgian,
Churros,1,西班牙油条,Churros,,,
Rotisserie Chicken,1,烤鸡肉,Rotisserie Chicken,,,
Soba,1,涼式荞麦麵,Soba,,,
